event_id,match_id,event_type,team,player,minute,second,shot_xg
1,52,Pass,Tottenham,Player_8,4,1,0.6686023805608377
2,93,Interception,Manchester City,Player_130,50,59,
3,15,Interception,Manchester United,Player_145,3,0,
4,72,Pass,Brighton,Player_52,12,22,
5,61,Foul,Liverpool,Player_45,65,24,
6,21,Dribble,West Ham,Player_37,27,17,
7,83,Interception,Manchester United,Player_170,50,43,
8,87,Dribble,Tottenham,Player_44,77,6,0.7169988580831188
9,75,Foul,Arsenal,Player_117,17,50,
10,75,Pass,Arsenal,Player_38,72,53,
11,88,Foul,Manchester United,Player_99,32,2,
12,100,Interception,Arsenal,Player_124,84,28,
13,24,Shot,Tottenham,Player_6,51,9,
14,3,Pass,Manchester United,Player_68,17,58,
15,22,Tackle,Tottenham,Player_179,34,58,0.5554934964649921
16,53,Dribble,West Ham,Player_101,35,42,
17,2,Foul,Brighton,Player_163,24,4,
18,88,Pass,Crystal Palace,Player_186,54,33,0.4101497198886398
19,30,Foul,West Ham,Player_185,18,7,
20,38,Pass,West Ham,Player_134,50,13,0.6895972903277331
21,2,Interception,Arsenal,Player_13,46,39,
22,64,Interception,Manchester City,Player_187,48,54,
23,60,Interception,Leicester City,Player_30,33,5,
24,21,Foul,Arsenal,Player_100,87,0,
25,33,Tackle,Manchester City,Player_2,89,55,
26,76,Interception,Tottenham,Player_58,27,32,
27,58,Pass,Leicester City,Player_36,1,39,
28,22,Interception,Arsenal,Player_72,85,10,
29,89,Shot,Leicester City,Player_173,59,49,
30,49,Interception,Leicester City,Player_137,10,23,
31,91,Foul,Chelsea,Player_126,25,9,
32,59,Tackle,Brighton,Player_193,84,43,
33,42,Shot,Chelsea,Player_77,57,51,
34,92,Foul,Manchester City,Player_50,66,22,
35,60,Foul,Liverpool,Player_32,15,15,
36,80,Foul,Manchester United,Player_98,28,36,
37,15,Pass,Crystal Palace,Player_43,13,15,
38,62,Foul,Liverpool,Player_125,14,55,
39,62,Pass,Manchester United,Player_95,66,43,
40,47,Foul,Manchester City,Player_78,34,30,
41,62,Dribble,Manchester City,Player_54,25,5,
42,51,Shot,Tottenham,Player_47,54,29,
43,55,Dribble,Crystal Palace,Player_14,79,36,
44,64,Foul,Brighton,Player_176,12,0,
45,3,Shot,Leicester City,Player_55,9,50,
46,51,Shot,Chelsea,Player_157,31,41,
47,7,Tackle,Chelsea,Player_175,78,24,
48,21,Dribble,Manchester City,Player_63,53,45,
49,73,Tackle,Chelsea,Player_19,43,56,0.43850124827457704
50,39,Shot,Manchester City,Player_91,38,20,
51,18,Pass,Leicester City,Player_137,42,34,
52,4,Shot,Manchester City,Player_101,72,37,
53,89,Tackle,Tottenham,Player_37,48,4,
54,60,Dribble,Brighton,Player_107,67,48,
55,14,Foul,West Ham,Player_92,66,49,
56,9,Foul,Arsenal,Player_52,16,11,
57,90,Dribble,Brighton,Player_185,83,4,
58,53,Foul,Brighton,Player_28,16,8,
59,2,Foul,Liverpool,Player_36,31,43,
60,84,Tackle,Crystal Palace,Player_116,58,51,
61,92,Dribble,Crystal Palace,Player_64,28,8,
62,60,Interception,Manchester United,Player_18,4,34,
63,71,Pass,Arsenal,Player_89,10,0,0.23686070944035897
64,44,Pass,Leicester City,Player_163,51,53,0.01437020592674898
65,8,Foul,West Ham,Player_196,18,46,
66,47,Pass,West Ham,Player_78,47,9,
67,35,Dribble,Crystal Palace,Player_167,32,45,
68,78,Dribble,Brighton,Player_90,30,38,
69,81,Shot,Tottenham,Player_8,36,35,
70,36,Shot,Manchester United,Player_15,9,57,
71,50,Pass,Manchester City,Player_7,36,36,
72,4,Interception,Manchester United,Player_17,29,51,0.5400934210977145
73,2,Shot,Liverpool,Player_86,16,47,
74,6,Shot,Manchester United,Player_118,21,34,
75,54,Dribble,Brighton,Player_64,64,16,
76,4,Interception,Leicester City,Player_12,66,12,
77,54,Foul,Brighton,Player_56,59,5,0.8485861892000055
78,93,Pass,Crystal Palace,Player_174,28,57,
79,63,Shot,Leicester City,Player_175,55,36,
80,18,Interception,Chelsea,Player_101,31,47,0.9166233736781126
81,90,Interception,Leicester City,Player_16,33,31,
82,44,Pass,Manchester United,Player_197,87,10,
83,34,Interception,Manchester United,Player_2,60,16,
84,74,Interception,Manchester United,Player_128,41,4,
85,62,Interception,Chelsea,Player_92,81,5,
86,100,Shot,Crystal Palace,Player_105,46,9,0.23821405282914765
87,14,Pass,Manchester City,Player_182,49,52,
88,95,Interception,Arsenal,Player_155,65,32,
89,48,Interception,Crystal Palace,Player_31,42,29,
90,15,Shot,Manchester United,Player_169,23,20,
91,72,Pass,Crystal Palace,Player_164,27,41,
92,78,Dribble,Liverpool,Player_47,89,16,0.2740478081979354
93,87,Shot,West Ham,Player_43,32,26,
94,62,Pass,West Ham,Player_65,83,2,
95,40,Interception,Arsenal,Player_50,88,59,
96,85,Pass,Arsenal,Player_1,3,28,
97,80,Pass,Manchester City,Player_185,60,1,
98,82,Foul,Liverpool,Player_144,76,28,0.5107829905154797
99,53,Pass,Brighton,Player_122,79,48,
100,24,Dribble,Crystal Palace,Player_28,17,35,
101,26,Pass,Leicester City,Player_86,32,33,
102,89,Dribble,Leicester City,Player_82,7,36,
103,60,Interception,Brighton,Player_22,83,41,
104,41,Dribble,West Ham,Player_41,71,0,
105,29,Interception,Brighton,Player_76,69,59,
106,15,Interception,Crystal Palace,Player_147,58,25,
107,45,Dribble,Liverpool,Player_89,40,0,
108,65,Shot,Manchester United,Player_178,85,58,
109,89,Tackle,Chelsea,Player_59,48,57,0.9092239295496342
110,71,Pass,Manchester United,Player_69,51,3,
111,9,Foul,Chelsea,Player_162,57,38,
112,88,Tackle,Leicester City,Player_167,71,13,
113,1,Pass,Arsenal,Player_123,37,45,0.8540154152059414
114,8,Pass,Crystal Palace,Player_74,87,17,
115,88,Interception,Manchester United,Player_7,75,33,
116,63,Pass,Brighton,Player_101,74,0,
117,11,Foul,Liverpool,Player_111,85,52,
118,81,Pass,Liverpool,Player_180,55,21,
119,8,Dribble,West Ham,Player_188,41,15,
120,35,Tackle,Liverpool,Player_52,20,21,
121,35,Dribble,Liverpool,Player_24,33,49,
122,33,Foul,Arsenal,Player_26,40,15,
123,5,Pass,Brighton,Player_125,34,27,0.051466705175969074
124,41,Foul,Leicester City,Player_90,62,27,
125,28,Interception,Liverpool,Player_122,19,54,
126,7,Dribble,Leicester City,Player_10,43,21,
127,73,Dribble,Arsenal,Player_17,69,55,
128,72,Shot,Liverpool,Player_2,63,5,
129,12,Pass,Crystal Palace,Player_112,10,24,0.7585449208966136
130,34,Interception,West Ham,Player_27,13,41,
131,33,Dribble,Manchester United,Player_71,5,1,
132,48,Dribble,Crystal Palace,Player_176,58,6,
133,23,Interception,Tottenham,Player_118,59,52,
134,62,Foul,Manchester City,Player_9,76,16,
135,88,Foul,Liverpool,Player_86,59,34,
136,37,Pass,Leicester City,Player_23,77,19,0.6513399408695104
137,99,Shot,Manchester City,Player_199,86,43,
138,44,Dribble,Chelsea,Player_73,15,1,0.8270454911428297
139,86,Shot,Liverpool,Player_27,77,6,
140,91,Foul,Tottenham,Player_93,1,31,
141,35,Foul,Arsenal,Player_81,38,48,
142,65,Tackle,West Ham,Player_84,53,18,
143,99,Pass,Tottenham,Player_199,52,11,
144,47,Tackle,Leicester City,Player_43,1,8,
145,78,Tackle,Arsenal,Player_7,11,26,
146,3,Tackle,Manchester United,Player_92,58,13,
147,1,Pass,Arsenal,Player_83,40,1,
148,5,Pass,Liverpool,Player_191,86,20,0.947893822684675
149,90,Interception,Manchester City,Player_84,60,3,
150,14,Shot,Manchester City,Player_44,44,59,
151,27,Shot,Leicester City,Player_167,6,50,
152,9,Interception,Arsenal,Player_40,28,20,
153,79,Interception,Tottenham,Player_135,31,47,
154,15,Foul,Leicester City,Player_198,8,21,
155,90,Tackle,West Ham,Player_25,5,48,0.2453620559864359
156,42,Interception,Leicester City,Player_59,54,1,
157,77,Dribble,Leicester City,Player_141,17,16,
158,51,Shot,Manchester United,Player_103,38,18,
159,63,Interception,Crystal Palace,Player_86,9,39,
160,96,Dribble,Liverpool,Player_112,74,23,
161,52,Dribble,Manchester United,Player_86,84,19,
162,96,Dribble,Manchester City,Player_98,78,37,
163,4,Foul,Manchester City,Player_62,14,11,
164,94,Foul,Chelsea,Player_8,26,24,
165,23,Dribble,Chelsea,Player_113,62,22,
166,15,Foul,Tottenham,Player_173,25,49,
167,43,Tackle,Manchester City,Player_146,80,58,
168,29,Dribble,Crystal Palace,Player_60,36,33,0.6390174289267628
169,36,Tackle,Manchester United,Player_60,80,31,
170,13,Tackle,West Ham,Player_106,33,50,
171,32,Dribble,Crystal Palace,Player_2,3,23,
172,71,Shot,Chelsea,Player_194,87,41,0.8670150784720089
173,59,Dribble,Arsenal,Player_91,11,24,
174,86,Dribble,Crystal Palace,Player_14,58,2,
175,28,Foul,Crystal Palace,Player_48,64,24,0.44504210751024
176,66,Dribble,Crystal Palace,Player_103,18,27,0.7850933064979919
177,42,Shot,Crystal Palace,Player_56,47,11,
178,45,Foul,Crystal Palace,Player_12,44,25,
179,62,Pass,Chelsea,Player_55,59,47,
180,57,Pass,Manchester City,Player_156,50,43,
181,6,Tackle,Leicester City,Player_110,69,7,
182,28,Tackle,Crystal Palace,Player_4,88,4,
183,28,Shot,Crystal Palace,Player_36,29,10,
184,44,Interception,Liverpool,Player_178,90,41,0.35691490147151517
185,84,Pass,Manchester City,Player_131,67,34,
186,30,Tackle,Leicester City,Player_1,2,26,
187,62,Pass,West Ham,Player_17,25,54,
188,75,Shot,West Ham,Player_199,19,40,
189,92,Shot,Arsenal,Player_62,40,43,
190,89,Interception,Brighton,Player_48,2,37,0.43093673178464764
191,62,Interception,Manchester United,Player_62,83,18,
192,97,Foul,Liverpool,Player_69,65,47,
193,1,Shot,Manchester City,Player_147,62,52,0.7143651619473286
194,27,Tackle,Manchester City,Player_103,54,54,
195,62,Pass,Brighton,Player_110,45,55,0.8169005946848834
196,77,Dribble,Arsenal,Player_162,49,31,
197,3,Interception,Tottenham,Player_177,69,45,
198,70,Dribble,Chelsea,Player_175,38,27,
199,72,Tackle,Arsenal,Player_91,4,35,0.7322942661400873
200,27,Interception,Leicester City,Player_114,17,17,0.7760942862183243
201,9,Dribble,Arsenal,Player_178,53,9,
202,62,Tackle,Brighton,Player_89,85,31,
203,37,Pass,Brighton,Player_154,53,17,
204,97,Tackle,Manchester United,Player_56,31,11,
205,51,Foul,Liverpool,Player_78,22,50,
206,44,Interception,Crystal Palace,Player_14,11,7,0.36697637339645006
207,24,Shot,West Ham,Player_25,34,32,
208,79,Pass,Brighton,Player_132,15,45,
209,59,Dribble,Manchester United,Player_32,10,54,
210,32,Interception,Chelsea,Player_82,53,37,
211,96,Shot,West Ham,Player_78,48,13,
212,88,Tackle,Tottenham,Player_193,31,1,
213,52,Shot,Manchester City,Player_106,37,8,
214,62,Interception,Chelsea,Player_189,28,43,
215,58,Interception,Tottenham,Player_20,31,4,
216,52,Foul,West Ham,Player_74,70,33,
217,12,Foul,Chelsea,Player_10,14,18,
218,39,Shot,Manchester United,Player_123,87,6,
219,2,Tackle,Tottenham,Player_34,16,38,0.9272714445333184
220,3,Shot,Manchester City,Player_189,25,41,
221,56,Interception,Crystal Palace,Player_155,39,16,
222,81,Interception,Manchester United,Player_40,66,25,0.4760441828876014
223,59,Dribble,Leicester City,Player_193,38,45,
224,2,Foul,Manchester City,Player_127,41,26,
225,2,Dribble,Liverpool,Player_33,40,42,
226,92,Pass,Arsenal,Player_196,64,27,
227,54,Interception,Liverpool,Player_71,89,19,
228,87,Dribble,Brighton,Player_137,16,5,
229,96,Shot,Crystal Palace,Player_144,82,7,
230,97,Foul,Leicester City,Player_133,77,31,
231,1,Foul,Leicester City,Player_98,59,18,
232,19,Tackle,Arsenal,Player_124,11,31,
233,2,Shot,Tottenham,Player_151,1,18,
234,53,Tackle,Arsenal,Player_43,13,23,
235,44,Dribble,Brighton,Player_114,30,23,
236,90,Pass,Liverpool,Player_89,69,55,0.6396382093034958
237,32,Shot,Leicester City,Player_185,18,16,
238,70,Shot,Liverpool,Player_179,78,55,0.6722736540247367
239,32,Shot,Manchester City,Player_13,13,55,
240,68,Tackle,Crystal Palace,Player_128,32,17,
241,55,Dribble,Chelsea,Player_152,71,11,
242,75,Shot,Brighton,Player_139,72,40,
243,56,Shot,Chelsea,Player_52,50,22,
244,17,Foul,Brighton,Player_17,71,55,
245,38,Pass,West Ham,Player_165,80,47,
246,24,Foul,Crystal Palace,Player_13,31,17,
247,69,Foul,Manchester City,Player_190,51,15,
248,98,Pass,Crystal Palace,Player_84,27,15,
249,70,Dribble,Tottenham,Player_97,60,35,
250,86,Foul,Brighton,Player_106,33,22,
251,11,Dribble,Chelsea,Player_96,53,21,
252,16,Foul,Brighton,Player_8,72,38,0.6568733022593589
253,97,Interception,Tottenham,Player_56,33,32,
254,73,Pass,Brighton,Player_104,41,23,
255,59,Foul,Crystal Palace,Player_83,19,54,
256,70,Interception,Manchester United,Player_198,85,19,
257,80,Tackle,Brighton,Player_44,41,32,0.9873602045353342
258,93,Interception,West Ham,Player_188,85,30,0.8535658372113794
259,3,Shot,West Ham,Player_103,89,39,0.38796633338382425
260,20,Foul,Leicester City,Player_112,42,57,
261,59,Interception,West Ham,Player_169,23,54,
262,36,Dribble,Brighton,Player_149,75,7,0.6679015127348594
263,19,Tackle,Brighton,Player_42,33,9,
264,90,Foul,Manchester United,Player_157,20,0,
265,67,Shot,West Ham,Player_193,25,20,
266,19,Interception,Liverpool,Player_145,90,24,
267,20,Tackle,Brighton,Player_30,52,31,
268,96,Foul,Manchester City,Player_26,12,52,
269,71,Tackle,Manchester City,Player_181,32,45,
270,52,Shot,Chelsea,Player_125,33,45,
271,33,Interception,Manchester United,Player_19,74,9,
272,40,Tackle,Tottenham,Player_53,68,59,
273,39,Tackle,Liverpool,Player_85,15,50,
274,82,Pass,Brighton,Player_17,51,56,
275,1,Tackle,Crystal Palace,Player_174,6,47,
276,11,Pass,Arsenal,Player_104,69,8,
277,92,Interception,Arsenal,Player_181,69,19,
278,57,Foul,Tottenham,Player_105,82,47,0.9936980301271583
279,89,Foul,Leicester City,Player_104,35,19,
280,50,Interception,Crystal Palace,Player_192,86,58,0.43769403822471176
281,23,Interception,Arsenal,Player_173,34,39,
282,31,Dribble,Tottenham,Player_177,63,6,
283,94,Interception,Arsenal,Player_147,68,10,
284,42,Tackle,Manchester United,Player_124,18,20,
285,99,Foul,Chelsea,Player_199,26,37,
286,7,Shot,Leicester City,Player_81,86,46,
287,16,Foul,Manchester United,Player_193,61,18,
288,90,Pass,Crystal Palace,Player_37,78,45,
289,60,Foul,Tottenham,Player_121,74,14,
290,2,Dribble,Liverpool,Player_70,88,5,0.06487921809393848
291,1,Interception,Crystal Palace,Player_154,85,55,
292,48,Interception,Crystal Palace,Player_130,48,9,0.6016357358233364
293,12,Foul,West Ham,Player_59,72,45,
294,69,Shot,Liverpool,Player_118,31,15,
295,37,Shot,Manchester City,Player_133,34,44,
296,32,Dribble,West Ham,Player_37,87,10,0.34805228699093416
297,9,Pass,Tottenham,Player_31,89,56,
298,99,Foul,Manchester City,Player_99,7,34,
299,19,Interception,Arsenal,Player_94,83,7,
300,48,Foul,Arsenal,Player_176,7,27,
301,80,Dribble,Crystal Palace,Player_6,47,2,0.14505064080142627
302,3,Tackle,West Ham,Player_15,8,1,0.49546013317236026
303,20,Tackle,Brighton,Player_143,78,52,
304,24,Dribble,Liverpool,Player_189,1,13,
305,54,Interception,Manchester City,Player_16,77,51,0.7172054798944385
306,33,Dribble,Liverpool,Player_20,3,28,
307,24,Interception,West Ham,Player_77,53,52,
308,75,Shot,Crystal Palace,Player_44,38,53,0.6461303683672054
309,72,Dribble,Manchester United,Player_170,51,46,
310,36,Interception,Arsenal,Player_46,15,2,
311,38,Dribble,Manchester City,Player_95,67,0,
312,84,Dribble,Manchester City,Player_162,64,14,
313,99,Interception,Tottenham,Player_64,68,19,
314,89,Interception,Manchester City,Player_157,5,21,
315,99,Pass,West Ham,Player_131,90,33,0.4611031852005204
316,25,Dribble,Manchester City,Player_9,89,49,0.8107614681476384
317,93,Tackle,Manchester City,Player_153,10,32,
318,18,Dribble,Liverpool,Player_42,8,8,
319,82,Dribble,Crystal Palace,Player_174,12,2,0.36545415918827373
320,66,Interception,Chelsea,Player_73,64,1,
321,54,Dribble,Manchester City,Player_84,59,3,
322,35,Foul,Brighton,Player_59,67,15,
323,80,Dribble,Crystal Palace,Player_21,50,53,
324,61,Foul,Leicester City,Player_150,23,32,
325,41,Tackle,Tottenham,Player_157,40,8,
326,100,Interception,Liverpool,Player_63,78,56,
327,33,Dribble,Tottenham,Player_73,87,39,
328,68,Foul,Manchester United,Player_61,77,37,
329,33,Foul,Manchester City,Player_64,76,51,
330,14,Foul,Arsenal,Player_69,18,17,0.5448351546889942
331,21,Shot,Brighton,Player_168,21,15,
332,48,Pass,Liverpool,Player_129,1,7,0.36653905440895607
333,20,Tackle,Tottenham,Player_106,38,22,0.9800991031079778
334,8,Dribble,Manchester City,Player_65,41,59,
335,7,Shot,Arsenal,Player_122,42,35,
336,67,Dribble,Arsenal,Player_62,9,2,
337,17,Dribble,Manchester United,Player_182,23,14,
338,33,Interception,Crystal Palace,Player_103,78,37,
339,48,Interception,Brighton,Player_60,11,32,
340,76,Interception,Chelsea,Player_46,71,17,
341,59,Shot,Brighton,Player_5,31,22,
342,86,Dribble,Manchester United,Player_113,88,42,
343,22,Pass,West Ham,Player_150,26,2,
344,30,Tackle,Crystal Palace,Player_181,30,29,
345,38,Interception,Liverpool,Player_70,34,44,
346,51,Interception,Crystal Palace,Player_160,46,16,
347,54,Dribble,Manchester United,Player_11,69,49,
348,8,Dribble,Manchester United,Player_138,5,57,
349,27,Shot,Liverpool,Player_167,61,57,
350,27,Shot,Liverpool,Player_98,83,31,
351,98,Interception,Liverpool,Player_31,38,45,
352,21,Dribble,Crystal Palace,Player_12,28,56,
353,30,Pass,Manchester City,Player_108,26,6,
354,97,Tackle,Tottenham,Player_80,61,38,0.3773911104236912
355,28,Dribble,Leicester City,Player_166,23,13,
356,64,Dribble,Liverpool,Player_67,46,57,0.5280714117368048
357,97,Foul,Tottenham,Player_194,30,55,
